Instituto/Curso, Canc.por Reopção, Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Possui outro curso, Falecimento do Aluno, Limite de Trancamento, Prescrito, Programa Cancelado, Transferência para outra IES, Total geral
Engenharia Biomédica , 1,0,0,10,0,0,0,0,0,0,11
Engenharia Civil , 2,0,5,20,0,0,6,1,0,0,34
Engenharia da Computação , 5,0,4,15,0,0,0,0,0,0,24
Engenharia de Alimentos , 3,0,1,8,0,0,0,0,0,0,12
Engenharia de Telecomunicações , 2,0,0,8,0,0,0,0,0,0,10
Engenharia Elétrica , 2,0,0,13,0,0,2,0,0,0,17
Engenharia Ferroviária e Logística , 0,0,0,9,0,0,0,0,0,0,9
Engenharia Mecânica, 5,0,2, 11,0,0,9,2,0,0, 29
Engenharia Naval , 2,0,4,8,0,0,0,0,0,0,14
Engenharia Química , 0,0,1,19,0,0,2,0,0,1,23
Engenharia Sanitária e Ambiental , 1,0,2,13,0,0,24,2,0,0,42
Total , 109,8,159,769,1,3,271,608,3,3,1
